Participant,Group,Item,Task,RT,Accuracy
2,L2,coat,Regular,968,1
2,L2,coat,Delayed,382,0
2,L2,doll,Regular,968,0
2,L2,doll,Delayed,480,0
2,L2,knife,Regular,712,1
2,L2,knife,Delayed,392,1
2,L2,leg,Regular,1048,1
2,L2,leg,Delayed,424,1
2,L2,road,Regular,912,1
2,L2,road,Delayed,512,1
2,L2,sock,Regular,736,1
2,L2,sock,Delayed,528,1
2,L2,wall,Regular,1512,1
4,L2,coat,Regular,1185,1
4,L2,doll,Regular,1106,0
4,L2,knife,Regular,648,0
4,L2,knife,Delayed,161,1
4,L2,leg,Regular,720,1
4,L2,road,Delayed,360,1
4,L2,sock,Regular,688,0
4,L2,sock,Delayed,168,1
5,L2,bag,Regular,930,1
5,L2,heel,Regular,679,1
5,L2,heel,Delayed,275,1
5,L2,knife,Regular,775,0
5,L2,knife,Delayed,267,1
5,L2,leg,Delayed,427,1
5,L2,road,Regular,793,0
5,L2,road,Delayed,472,1
5,L2,roof,Regular,776,1
5,L2,sock,Regular,464,1
5,L2,sock,Delayed,256,1
5,L2,tire,Regular,697,1
5,L2,tire,Delayed,430,1
6,L2,bag,Regular,801,0
6,L2,coat,Regular,1103,0
6,L2,coat,Delayed,469,1
6,L2,doll,Regular,856,0
6,L2,heel,Regular,1072,1
6,L2,heel,Delayed,371,1
6,L2,knife,Regular,728,1
6,L2,knife,Delayed,532,1
6,L2,leg,Delayed,418,1
6,L2,road,Regular,856,1
6,L2,road,Delayed,320,1
6,L2,roof,Regular,1048,1
6,L2,roof,Delayed,367,1
6,L2,sock,Regular,595,1
6,L2,sock,Delayed,352,1
6,L2,wall,Regular,864,1
6,L2,wall,Delayed,528,1
7,L2,coat,Delayed,347,1
7,L2,doll,Delayed,544,1
7,L2,knife,Regular,1016,1
7,L2,knife,Delayed,352,1
7,L2,road,Regular,939,1
7,L2,road,Delayed,376,1
7,L2,roof,Delayed,472,1
7,L2,sock,Regular,896,0
